Name,Shadow,Mega,Primal,Regional
roserade,False,False,False,
machamp,False,False,False,
aggron,False,True,False,
scizor,True,False,False,
shiftry,True,False,False,
abomasnow,True,False,False,
mismagius,True,False,False,
banette,True,False,False,
skuntank,True,False,False,
cacturne,True,False,False,
sharpedo,True,False,False,
ampharos,True,False,False,
magmortar,True,False,False,
hippowdon,True,False,False,
latias,True,False,False,
arcanine,True,False,False,
vileplume,True,False,False,
flygon,True,False,False,
houndoom,True,False,False,
porygon-z,True,False,False,
regigigas,True,False,False,
venusaur,False,False,False,
clawitzer,False,False,False,
aggron,True,False,False,
articuno,False,False,False,galar
zapdos,False,False,False,galar
zacian,False,False,False,
ninetales,True,False,False,alola
genesect,False,False,False,
genesect,False,False,False,
genesect,False,False,False,
sylveon,False,False,False,
genesect,False,False,False,
aerodactyl,False,False,False,
crawdaunt,False,False,False,
zapdos,False,False,False,
feraligatr,False,False,False,
granbull,False,False,False,
scizor,False,False,False,
celebi,False,False,False,
tapu koko,False,False,False,
tapu lele,False,False,False,
tapu bulu,False,False,False,
sceptile,False,False,False,
blaziken,False,False,False,
hariyama,False,False,False,
manectric,False,False,False,
torterra,False,False,False,
thundurus,False,False,False,
luxray,False,False,False,
tangrowth,False,False,False,
togekiss,False,False,False,
yanmega,False,False,False,
golem,False,False,False,alola
emboar,False,False,False,
samurott,False,False,False,
unfezant,False,False,False,
krookodile,False,False,False,
escavalier,False,False,False,
haxorus,False,False,False,
braviary,False,False,False,
tornadus,False,False,False,
genesect,False,False,False,
altaria,False,True,False,
steelix,False,True,False,
scyther,True,False,False,
gallade,True,False,False,
muk,True,False,False,
cloyster,True,False,False,
walrein,True,False,False,
kingdra,True,False,False,
muk,True,False,False,alola
cobalion,False,False,False,
bisharp,False,False,False,
accelgor,False,False,False,
virizion,False,False,False,
tornadus,False,False,False,
meloetta,False,False,False,
eelektross,False,False,False,
charizard,False,False,False,
greninja,False,False,False,
sirfetch'd,False,False,False,
delphox,False,False,False,
zebstrika,False,False,False,
hoopa,False,False,False,
braviary,False,False,False,hisui
overqwil,False,False,False,
zebstrika,True,False,False,
drifblim,True,False,False,
archeops,False,False,False,
simisage,False,False,False,
alakazam,False,False,False,
incineroar,False,False,False,
victreebel,False,False,False,
golem,False,False,False,
exeggutor,False,False,False,
jynx,False,False,False,
pinsir,False,False,False,
gyarados,False,False,False,
jolteon,False,False,False,
typhlosion,False,False,False,
espeon,False,False,False,
entei,False,False,False,
lugia,False,False,False,
toucannon,False,False,False,
victini,False,False,False,
lycanroc,False,False,False,
lunala,False,False,False,
cacturne,False,False,False,
banette,False,False,False,
jirachi,False,False,False,
giratina,False,False,False,
infernape,False,False,False,
empoleon,False,False,False,
gallade,False,False,False,
exeggutor,False,False,False,alola
raichu,False,False,False,alola
deoxys,False,False,False,
pidgeot,True,False,False,
